NAME,POINTS
Taron Johnson ,112.6
Jabrill Peppers ,112.5
Shaq Thompson,112.5
Nick Folk,112
Michael Badgley,112
Romeo Okwara ,111.9
Nicholas Morrow ,111.9
Jamie Collins Sr.,111.6
Jamaal Williams ,111.6
Shaquil Barrett,111.1
Kevin Byard,111
Antoine Winfield Jr.,111
Marcus Maye ,110.6
Kamren Curl,110.1
Josey Jewell ,110.1
Kansas City Chiefs,110
Jerick McKinnon,109.7
Evan Engram,109.5
Jalen Hurts,108.94
Jared Cook,108.9
Leonard Floyd,108.7
Daniel Sorensen,108.5
Khari Willis ,108.5
Eric Kendricks,108.5
Adrian Amos,107.7
A.J. Klein,107.3
Arizona Cardinals,107
Harold Landry III,106.85
Tony Pollard,106.7
Greg Ward,106.6
Emmanuel Ogbah,106.55
Harrison Smith,106.5
Danny Trevathan,106.3
Avery Williamson,106.3
Tyler Higbee,106.2
DeMarcus Lawrence ,106.15
Minkah Fitzpatrick,105.5
Kendrick Bourne,105.2
De'Vondre Campbell,104.5
Nick Foles ,104.18
New England Patriots,104
Hunter Renfrow,103.6
New York Giants,103
Seattle Seahawks,103
Philadelphia Eagles,103
Brandon Graham ,102.6
Rashard Higgins,102.4
Eric Rowe,102
John Johnson III,102
Tre Boston,101.7
Mecole Hardman,101.6
Darnell Savage,101.5
David Moore,101.3
George Kittle,101.1
Donovan Wilson,100.55
Trey Hendrickson,100.1
Cody Parkey,100
Quinnen Williams,99.55
Xavien Howard,99.5
Joey Bosa,99.3
B.J. Goodson,98.6
Josh Reynolds,98.3
Kenneth Murray Jr. ,97.9
Malik Reed ,97.7
Malcolm Brown ,97.6
Eddie Jackson ,97.5
Robbie Gould,97
Carolina Panthers,97
Travis Fulgham,96.9
Cameron Jordan,96.7
Cam Akers,96.3
