NAME,POINTS
Josh Allen,395.56
Aaron Rodgers,382.76
Kyler Murray ,378.74
Patrick Mahomes,374.4
Deshaun Watson ,369.32
Russell Wilson ,359.78
Ryan Tannehill,343.86
Tom Brady,337.92
Alvin Kamara,336.3
Justin Herbert,332.84
Lamar Jackson,332.78
Derrick Henry ,323.6
Dalvin Cook,315.8
Kirk Cousins,306.2
Davante Adams,300.9
Tyreek Hill,285.4
Matt Ryan,280.44
Derek Carr,272.12
Ben Roethlisberger,267.22
Stefon Diggs,265.1
Matthew Stafford,260.56
Travis Kelce,260.26
Cam Newton,259.98
Baker Mayfield,248.12
Teddy Bridgewater,241.22
Jared Goff,239.98
Philip Rivers,239.96
David Montgomery,237.8
Calvin Ridley,236.5
Aaron Jones,235.4
Jonathan Taylor,234.8
DeAndre Hopkins ,230.3
Justin Jefferson,230.2
DK Metcalf,229.8
James Robinson ,225.9
Darren Waller,225.1
Adam Thielen,217
Tyler Lockett,215.4
Josh Jacobs,214.8
Mike Evans,213.6
Allen Robinson II,211.9
Drew Brees,209.48
A.J. Brown,206.5
Robert Woods,200.1
Nick Chubb,199.7
Kareem Hunt ,199.5
Carson Wentz,198.4
Ezekiel Elliott,197.7
Keenan Allen,195.1
Brandin Cooks,191.5
Amari Cooper,190.8
Devin White,189.9
Marvin Jones Jr.,189.8
JuJu Smith-Schuster ,185.6
Antonio Gibson,184.2
Chase Claypool,183.9
Melvin Gordon III,182.4
Drew Lock,181.32
Terry McLaurin,180.3
Daniel Jones,180.02
Kenyan Drake,179.7
DJ Moore,178.5
Diontae Johnson,177.8
Mike Davis,177
Robby Anderson,176.6
CeeDee Lamb,174.7
Joe Burrow,173.72
Curtis Samuel ,173.6
Ronald Jones II,172.3
T.J. Watt,170.55
Roquan Smith,169.7
Chris Carson ,169.3
D'Andre Swift,166.8
Cole Beasley,166.5
David Johnson,163
Cooper Kupp,162.7
William Fuller V ,162.4
Nyheim Hines,161.7
Nelson Agholor,161.6
Tee Higgins,161.1
Blake Martinez ,160.3
Gardner Minshew,160.16
Jason Sanders,160
Younghoe Koo,160
Joe Schobert,159.7
J.K. Dobbins ,159.5
Zach Cunningham,159.1
Corey Davis ,158.9
Chris Godwin,158.5
Clyde Edwards-Helaire ,158
Jaylon Smith,156.65
Miles Sanders ,156.4
Brandon Aiyuk,154.5
Marquise Brown,154
Mitchell Trubisky,153.7
Ryan Fitzpatrick ,153.24
Tyler Boyd,153.14
Taysom Hill,152.62
Daniel Carlson,152
Jarvis Landry,151.96
Darius Leonard,151.6
J.D. McKissic,151.4
Deion Jones,151.35
Indianapolis Colts,151
Todd Gurley II,150.7
Robert Tonyan ,150.6
Pittsburgh Steelers,150
Tyler Bass,149
Los Angeles Rams,149
James Conner,147.1
Bobby Wagner,146.9
Russell Gage,145.06
Lavonte David,145
Michael Gallup ,143.8
Myles Gaskin,143.7
Eric Wilson,143.45
Haason Reddick,143.35
Baltimore Ravens,143
Jamison Crowder,142.52
T.J. Hockenson,141.8
Chase Edmonds ,141.5
Mark Andrews,141.1
Rodrigo Blankenship ,141
Greg Zuerlein,141
Logan Thomas ,140.62
Jordan Poyer,140.4
Jerome Baker ,139.95
Fred Warner,139.6
Miami Dolphins,139
Foyesade Oluokun,138.9
Jeremy Chinn,138.5
Austin Ekeler,138.3
Ryan Succop,138
Neville Hewitt,136.9
Budda Baker,136.8
Patrick Queen,136.7
Andy Dalton,136.36
T.Y. Hilton ,136.2
Justin Tucker,136
Jeff Wilson Jr.,135.8
Tim Patrick,135.7
Demario Davis,135.6
Tua Tagovailoa ,135.46
Aaron Donald,135.4
Dak Prescott,135.14
DeVante Parker ,134.8
Giovani Bernard,134.6
Emmanuel Sanders,134.3
Za'Darius Smith ,134.15
Sam Darnold ,134.02
Mike Gesicki,132.8
Jerry Jeudy,131.6
Harrison Butker,131
Alex Singleton,130.8
Cairo Santos,130
Marlon Humphrey,129.95
Jamal Adams,129.95
Mike Williams,129.7
Sterling Shepard ,129.5
Myles Garrett,129.3
Laviska Shenault Jr.,128.1
Wil Lutz ,128
Brandon McManus,128
Tyrell Adams,127.5
DJ Chark Jr. ,127.1
Washington Football Team,127
Rob Gronkowski,126.8
Malcolm Jenkins,126.5
Wayne Gallman,126.1
Ka'imi Fairbairn,126
DeForest Buckner,125.8
Leonard Williams,125.65
Jason Pierre-Paul,125.2
Jason Myers,125
Latavius Murray ,124.7
Devin Singletary,124.6
Myles Jack,124.1
Graham Gano,124
Gus Edwards ,123.7
Jessie Bates III,123.5
Christian Kirk,122.4
Darrell Henderson Jr.,122.3
Kenny Moore II,122.1
Joey Slye,122
New Orleans Saints,122
Keelan Cole,121.9
Darnell Mooney,121.6
Hayden Hurst,121.1
Marquez Valdes-Scantling,120.8
Julio Jones,120.6
Malcolm Butler,120
Jonnu Smith ,119.7
Gabriel Davis,119.4
Brian Burns ,118.8
Jimmy Graham,118.6
Vonn Bell,118.5
Adrian Peterson,118.5
Noah Fant,118.3
Montez Sweat ,118.2
Alexander Johnson ,118
Buffalo Bills,118
Jordan Hicks,117.5
Tampa Bay Buccaneers,117
Justin Simmons,116.5
Nick Mullens,116.28
Darius Slayton,116
Khalil Mack ,115.9
Logan Ryan,115.7
Tremaine Edmunds,115.6
Jon Bostic ,115.4
Hunter Henry,115.3
J.J. Watt ,115.1
Dustin Hopkins,115
Mason Crosby,115
Dalton Schultz,115
Zach Pascal,114.9
K.J. Wright,114.8
Chase Young,114.45
Stephon Tuitt ,114.35
Troy Hill,114
Stephen Gostkowski,114
Leonard Fournette,114
Adrian Phillips,113.9
Eric Ebron ,113.8
Chuck Clark,113.6
Keanu Neal,113.4
Jakobi Meyers,113.02
Matt Prater,113
Kyle Van Noy,112.7
